방문자ID,여행ID,진행순서,방문지명,방문시작일자,방문종료일자,도로명주소,지번주소,X좌표,Y좌표,도로명코드,지번코드,POI_ID,POI_NM,체류시간,방문자유형코드,재방문여부,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,만족도,재방문의향,추천의향,시군구코드
2208270006,a_a000321,6,제부씨월드,2022-08-27,2022-08-27,경기 화성시 서신면 제부로 235-1,경기 화성시 서신면 송교리 377-17,126.6574209,37.17389991,,,POI0100000068VII5,제부씨월드,30,4,N,7,,2,2,2,
2209010002,d_d001030,3,협재해수욕장,2022-09-01,2022-09-01,제주특별자치도 제주시 한림읍 한림로 329-10,제주특별자치도 제주시 한림읍 협재리 2447,126.2391575,33.39386608,,,,,30,1,N,1,,4,3,3,
2209140009,d_d001428,9,곽지해수욕장,2022-09-14,2022-09-14,,제주특별자치도 제주시 애월읍 곽지리 1565,126.3046732,33.45065751,,,POI01000000EBRPYZ,곽지해변,60,1,Y,8,,4,3,3,
2209170005,d_d001424,19,제주라프,2022-09-17,2022-09-17,제주특별자치도 제주시 조천읍 선교로 115-1,제주특별자치도 제주시 조천읍 선흘리 600-6,126.7068869,33.4867741,,,,,60,5,N,2,,4,4,4,
2210240003,d_d006918,3,CU 더퍼스트호텔점,2022-10-24,2022-10-24,제주특별자치도 서귀포시 명동로 46,제주특별자치도 서귀포시 서귀동 182,126.5668227,33.24742257,,,,,30,10,Y,7,,3,3,3,
2210270002,d_d007180,18,스타벅스 제주공항DT점,2022-10-27,2022-10-27,제주특별자치도 제주시 월성로 42,제주특별자치도 제주시 용담이동 2754-1,126.5053546,33.50062487,,,,,60,11,N,5,,5,5,5,
2208310003,d_d000309,19,김해공항,2022-08-31,2022-09-01,,,128.9464591,35.17322,,,,,600,9,,,,,,,26440
2211060002,d_d008008,20,치저스 제주,2022-11-06,2022-11-06,제주특별자치도 제주시 구좌읍 비자림로 1785,제주특별자치도 제주시 구좌읍 송당리 1581-1,126.7740197,33.46845794,,,,,60,11,N,1,,5,5,5,
2208250003,d_d000429,2,김포국제공항 국내선,2022-08-25,2022-08-25,서울 강서구 하늘길 112,서울 강서구 공항동 1373,126.8028655,37.55894903,,,,,90,9,Y,11,,4,5,5,
2210040011,d_d002361,13,호텔휴식 서귀포,2022-10-04,2022-10-05,제주특별자치도 서귀포시 중앙로71번길 17,제주특별자치도 서귀포시 서귀동 308-2,126.5595004,33.25038215,,,,,180,24,N,11,1,3,3,3,
2210280003,d_d002758,18,호텔골든데이지 서귀포오션,2022-10-28,2022-10-28,제주특별자치도 서귀포시 동홍로 7,제주특별자치도 서귀포시 서귀동 255-1,126.5674527,33.24934704,,,POI0100000078T3T0,데이즈호텔,150,24,N,2,1,3,2,3,
2210110002,d_d004104,14,임순이네,2022-10-11,2022-10-11,제주특별자치도 제주시 애월읍 곽지1길 26-7,제주특별자치도 제주시 애월읍 곽지리 1581-7,126.3042112,33.44897797,,,,,30,11,N,2,,5,5,5,
2210160002,d_d003917,26,귤꽃다락,2022-10-16,2022-10-16,제주특별자치도 서귀포시 이어도로1027번길 34,제주특별자치도 서귀포시 서호동 133,126.5225393,33.24640841,,,POI01000000EBRYW6,중문색달해수욕장,90,11,N,1,,5,5,5,
2210290001,d_d002906,1,집,2022-10-29,2022-10-29,,,,,,2729011800,POI01000000C2D65Y,진천역AK그랑폴리스/103동,,21,,,,,,,
2210080003,d_d002795,15,제주벨미협재점,2022-10-08,2022-10-08,제주특별자치도 제주시 한림읍 한림로 342,제주특별자치도 제주시 한림읍 협재리 1750-3,126.2408695,33.39388648,,,,,30,10,N,5,,3,3,3,
2208150011,d_d000019,18,오징어회타운,2022-08-15,2022-08-15,경북 울릉군 울릉읍 울릉순환로 147 죽도수산/갯바위식당,경상북도 울릉군 울릉읍 저동리,130.9092473,37.5015179,,,,,120,11,N,11,,5,5,5,47940
