전체코드,시도코드,시군구코드,읍면동코드,리코드,시도명,시군구명,읍면도,리
1100000000,11,,,,서울특별시,,,
1111000000,11,110,,,서울특별시,종로구,,
1111010100,11,110,101,0,서울특별시,종로구,청운동,
1111010200,11,110,102,0,서울특별시,종로구,신교동,
1111010300,11,110,103,0,서울특별시,종로구,궁정동,
1111010400,11,110,104,0,서울특별시,종로구,효자동,
1111010500,11,110,105,0,서울특별시,종로구,창성동,
1111010600,11,110,106,0,서울특별시,종로구,통의동,
1111010700,11,110,107,0,서울특별시,종로구,적선동,
1111010800,11,110,108,0,서울특별시,종로구,통인동,
1111010900,11,110,109,0,서울특별시,종로구,누상동,
1111011000,11,110,110,0,서울특별시,종로구,누하동,
1111011100,11,110,111,0,서울특별시,종로구,옥인동,
1111011200,11,110,112,0,서울특별시,종로구,체부동,
1111011300,11,110,113,0,서울특별시,종로구,필운동,
1111011400,11,110,114,0,서울특별시,종로구,내자동,
1111011500,11,110,115,0,서울특별시,종로구,사직동,
1111011600,11,110,116,0,서울특별시,종로구,도렴동,
1111011700,11,110,117,0,서울특별시,종로구,당주동,
1111011800,11,110,118,0,서울특별시,종로구,내수동,
1111011900,11,110,119,0,서울특별시,종로구,세종로,
1111012000,11,110,120,0,서울특별시,종로구,신문로1가,
1111012100,11,110,121,0,서울특별시,종로구,신문로2가,
1111012200,11,110,122,0,서울특별시,종로구,청진동,
1111012300,11,110,123,0,서울특별시,종로구,서린동,
1111012400,11,110,124,0,서울특별시,종로구,수송동,
1111012500,11,110,125,0,서울특별시,종로구,중학동,
1111012600,11,110,126,0,서울특별시,종로구,종로1가,
1111012700,11,110,127,0,서울특별시,종로구,공평동,
1111012800,11,110,128,0,서울특별시,종로구,관훈동,
1111012900,11,110,129,0,서울특별시,종로구,견지동,
1111013000,11,110,130,0,서울특별시,종로구,와룡동,
1111013100,11,110,131,0,서울특별시,종로구,권농동,
1111013200,11,110,132,0,서울특별시,종로구,운니동,
1111013300,11,110,133,0,서울특별시,종로구,익선동,
1111013400,11,110,134,0,서울특별시,종로구,경운동,
1111013500,11,110,135,0,서울특별시,종로구,관철동,
1111013600,11,110,136,0,서울특별시,종로구,인사동,
1111013700,11,110,137,0,서울특별시,종로구,낙원동,
