여행ID,TRIP_ID,출발방문지ID,도착방문지ID,출발시간,도착시간,이동방법코드1,이동방법코드2
d_d009096,2210300001,,2210300001,,2022/10/30 11:30,2,
c_c002880,2209240006,,2209240006,,2022/09/24 18:30,1,
d_d010667,2210300002,,2210300002,,2022/10/30 16:30,9,2
d_d001693,2209300011,,2209300011,,2022/09/30 21:00,2,
a_a000391,2208240005,,2208240005,,2022/08/24 16:00,15,
d_d002838,2210100004,,2210100004,,2022/10/10 12:30,2,
b_b002840,2208200005,,2208200005,,2022/08/20 17:00,15,
d_d009421,2210310001,,2210310001,,2022/10/31 10:30,1,
d_d001927,2210210009,,2210210009,,2022/10/21 19:00,2,
d_d006724,2210170001,2210170001,,2022/10/17 10:00,,,
d_d001590,2209250005,,2209250005,,2022/09/25 14:30,2,
d_d002671,2210050004,,2210050004,,2022/10/05 17:30,2,
d_d002195,2210190007,,2210190007,,2022/10/19 16:30,2,
d_d007174,2210240005,,2210240005,,2022/10/24 15:30,2,
d_d001651,2209250005,,2209250005,,2022/09/25 18:00,9,12
d_d001665,2210010007,,2210010007,,2022/10/01 18:30,2,15
d_d011816,2211050003,,2211050003,,2022/11/05 12:00,1,
d_d012396,2211130002,,2211130002,,2022/11/13 14:00,1,
d_d006135,2210250005,,2210250005,,2022/10/25 14:30,2,
d_d011147,2211050001,,2211050001,,2022/11/05 21:00,2,4
d_d002564,2210160006,,2210160006,,2022/10/16 18:30,2,
d_d002605,2210220005,,2210220005,,2022/10/22 13:30,11,11
d_d010383,2210310005,,2210310005,,2022/10/31 19:30,4,
d_d000190,2208180002,,2208180002,,2022/08/18 22:30,1,
c_c001984,2209170003,,2209170003,,2022/09/17 18:00,15,
b_b011144,2211050005,,2211050005,,2022/11/05 18:00,1,
d_d004254,2210080009,,2210080009,,2022/10/08 20:30,1,15
d_d010183,2211010001,,2211010001,,2022/11/01 10:00,15,
c_c004517,2210060002,,2210060002,,2022/10/06 12:00,2,
d_d000664,2209030005,,2209030005,,2022/09/03 3:00,15,
a_a001803,2209190001,,2209190001,,2022/09/19 15:30,1,
c_c003991,2210060001,2210060001,,2022/10/06 13:30,,,
d_d004511,2210200003,,2210200003,,2022/10/20 17:00,1,
d_d005291,2210150006,,2210150006,,2022/10/15 8:30,15,
d_d001312,2209270007,,2209270007,,2022/09/27 12:00,1,
d_d001624,2209270001,,2209270001,,2022/09/27 17:00,2,
d_d001116,2209220002,,2209220002,,2022/09/22 11:30,4,
d_d010842,2211030010,,2211030010,,2022/11/03 21:00,4,
a_a001424,2209060002,,2209060002,,2022/09/06 15:30,15,
c_c001754,2208310002,,2208310002,,2022/08/31 14:00,1,
a_a000317,2210080005,,2210080005,,2022/10/08 15:00,16,2
d_d001331,2209110010,,2209110010,,2022/09/11 12:00,10,
d_d002389,2210100005,,2210100005,,2022/10/10 15:30,1,
d_d002187,2210210008,,2210210008,,2022/10/21 19:00,2,
a_a014723,2210290004,,2210290004,,2022/10/29 14:30,1,
d_d000729,2209060005,,2209060005,,2022/09/06 16:00,2,
d_d003448,2210060003,,2210060003,,2022/10/06 15:30,15,
d_d008029,2210280007,,2210280007,,2022/10/28 19:00,15,
d_d008992,2210280010,,2210280010,,2022/10/28 14:30,2,
d_d001804,2210100003,,2210100003,,2022/10/10 16:00,1,
d_d002165,2210010002,,2210010002,,2022/10/01 11:30,1,
d_d004068,2210160002,,2210160002,,2022/10/16 18:00,1,
c_c001813,2209030001,,2209030001,,2022/09/03 11:30,1,
d_d003976,2210140004,,2210140004,,2022/10/14 13:00,2,
d_d001560,2210020004,,2210020004,,2022/10/02 18:00,1,
d_d001903,2210110005,,2210110005,,2022/10/11 19:00,9,5
d_d001470,2209180014,,2209180014,,2022/09/18 19:00,15,
d_d001570,2209220007,,2209220007,,2022/09/22 19:00,2,
d_d001353,2209150003,,2209150003,,2022/09/15 12:30,15,
d_d000527,2208210005,,2208210005,,2022/08/21 16:30,4,
d_d000790,2209010009,,2209010009,,2022/09/01 21:00,1,
c_c003021,2210030003,,2210030003,,2022/10/03 16:00,1,
d_d007184,2210230004,,2210230004,,2022/10/23 13:30,2,
d_d000074,2208150004,,2208150004,,2022/08/15 16:00,1,
d_d010462,2211010002,,2211010002,,2022/11/01 12:30,2,
d_d001893,2210010004,,2210010004,,2022/10/01 14:30,11,
d_d002252,2210020004,,2210020004,,2022/10/02 11:30,2,
d_d000928,2208280002,,2208280002,,2022/08/28 12:30,2,
d_d002360,2210250005,,2210250005,,2022/10/25 23:00,9,
d_d010686,2211070008,,2211070008,,2022/11/07 21:00,13,
d_d003736,2210260003,,2210260003,,2022/10/26 11:30,15,
d_d002051,2210110001,2210110001,,2022/10/11 6:30,,,
d_d002953,2210260006,,2210260006,,2022/10/26 15:30,2,
d_d001435,2209110009,,2209110009,,2022/09/11 20:30,1,
d_d002406,2210010001,,2210010001,,2022/10/01 23:30,2,
d_d001659,2210020003,,2210020003,,2022/10/02 16:00,2,
d_d002845,2210120004,,2210120004,,2022/10/12 14:30,15,
d_d000886,2209030004,,2209030004,,2022/09/03 16:00,1,1
a_a001118,2208300002,,2208300002,,2022/08/30 12:00,15,
d_d004571,2210160001,,2210160001,,2022/10/16 8:30,1,
d_d000233,2208190003,,2208190003,,2022/08/19 7:30,9,
d_d002514,2210190006,,2210190006,,2022/10/19 10:00,2,
d_d009697,2211070004,,2211070004,,2022/11/07 18:00,15,
d_d002431,2210150001,,2210150001,,2022/10/15 11:00,13,
d_d002744,2210080005,,2210080005,,2022/10/08 17:00,2,
d_d001352,2209160002,,2209160002,,2022/09/16 19:00,15,10
d_d010193,2211040003,,2211040003,,2022/11/04 13:00,2,
d_d003617,2210250004,,2210250004,,2022/10/25 7:30,1,
d_d002616,2210100001,2210100001,,2022/10/10 7:00,,,
d_d001289,2209110002,,2209110002,,2022/09/11 15:00,1,
d_d009242,2211060002,,2211060002,,2022/11/06 12:00,2,
a_a000095,2208070002,,2208070002,,2022/08/07 11:00,1,
d_d007020,2210230003,,2210230003,,2022/10/23 17:30,12,
d_d007504,2210270004,,2210270004,,2022/10/27 15:00,2,
