여행ID,이동수단구분,이용경비구분,이용경비순번,이동수단구분명,소비인원,사업자등록번호,상호명,결제일시,결제방식구분,결제금액,소비내역
b_b005018,50,교통비,0,버스 + 지하철,2,,,,,2900,
d_d000559,2,주차비,0,렌터카(승용/승합/버스 등등),2,,,,,2000,
d_d000251,16,교통비,0,기타,2,,,,,45000,
d_d000701,2,주차비,3,렌터카(승용/승합/버스 등등),4,6168301559,서귀포시청,2022/09/04 11:01,1,2000,주차비
d_d010363,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,103400,
d_d001983,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,50000,
d_d001527,4,교통비,0,택시,3,,,,,13700,
d_d006799,9,교통비,0,항공기,1,,,,,212800,
d_d010735,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,43534,
d_d006977,50,교통비,0,버스 + 지하철,1,,,,,18600,
d_d009829,50,교통비,0,버스 + 지하철,1,,,,,6300,
d_d007570,9,교통비,0,항공기,1,,,,,223000,비행기표
d_d002067,2,렌탈비,1,렌터카(승용/승합/버스 등등),1,2118841856,주식회사티몬,2022/09/16 15:10,1,143000,
d_d002862,9,교통비,0,항공기,1,,,,,216900,비행기표
d_d001541,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,75800,
d_d004807,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,150600,
d_d003747,2,주유비,0,렌터카(승용/승합/버스 등등),1,,,,,16000,
d_d004384,4,교통비,2,택시,2,,,2022/10/13 5:46,1,6400,택시비
d_d000820,9,교통비,0,항공기,3,,,,,396600,비행기표
d_d007150,2,렌탈비,0,렌터카(승용/승합/버스 등등),5,,,,,100000,
d_d006057,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,30000,
d_d004349,4,교통비,0,택시,2,,,,,6000,
d_d007870,14,렌탈비,0,자전거,3,,,,,15000,
d_d000795,10,교통비,1,배/선박,1,6168145193,우도해운(주),2022/08/29 10:18,1,10000,(왕복)승/대인;입장료/어른
d_d001247,4,교통비,1,택시,2,,,2022/09/22 0:00,1,6700,택시비
d_d010281,2,렌탈비,1,렌터카(승용/승합/버스 등등),2,,,,3,73040,렌트비
d_d000540,2,렌탈비,2,렌터카(승용/승합/버스 등등),2,3680801124,이도그린,2022/08/20 11:10,1,26850,무연휘발유
d_d001473,50,교통비,0,버스 + 지하철,2,,,,,2700,
d_d003286,4,교통비,1,택시,1,4118100359,(유)중앙교통,2022/10/19 21:49,1,6600,택시비
a_a000047,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,63000,
d_d002237,2,주유비,0,렌터카(승용/승합/버스 등등),3,,,,,50000,
d_d004432,2,주유비,0,렌터카(승용/승합/버스 등등),9,,,,,80000,
d_d002223,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,80000,
d_d009002,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,60000,
d_d001315,9,교통비,2,항공기,4,,,2022/08/20 0:00,1,100000,비행기표
a_a001479,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,50000,
d_d002218,2,렌탈비,0,렌터카(승용/승합/버스 등등),4,,,,,150000,
d_d000676,4,교통비,1,택시,4,6765300443,부천개인택시,2022/09/07 23:22,1,15700,택시비
b_b002847,1,주차비,13,자가용(승용/승합/트럭 등등),2,6208209271,울산광역시중구도시관리공단,2022/09/01 16:36,1,2500,주차비
d_d002878,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,60000,
b_b000218,10,교통비,0,배/선박,4,,,,,1438600,
b_b009691,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
d_d001485,9,교통비,0,항공기,1,,,,,82700,비행기표
d_d000017,2,렌탈비,0,렌터카(승용/승합/버스 등등),1,,,,,340000,
d_d000404,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,5400,
d_d005954,10,교통비,1,배/선박,1,6168145193,우도해운(주),2022/10/16 11:39,1,10000,승선권
d_d001688,50,교통비,0,버스 + 지하철,1,,,,,2900,
d_d003876,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,80000,
d_d002529,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,54100,
d_d005408,50,교통비,0,버스 + 지하철,2,,,,,5200,
d_d004104,1,주유비,11,자가용(승용/승합/트럭 등등),1,6162608791,한수풀주유소,2022/10/10 14:21,1,60000,주유비 경유
d_d005567,9,교통비,0,항공기,2,,,,,214920,비행기표
d_d010505,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,50000,
d_d009301,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,25000,
d_d000283,10,교통비,1,배/선박,6,1078204813,한국해운조합,2022/08/24 0:00,1,66600,승선권
d_d002701,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,500000,
c_c000085,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,60000,
a_a001773,50,교통비,0,버스 + 지하철,3,,,,,15550,
d_d002812,4,교통비,0,택시,1,,,,,299560,
d_d007365,2,주차비,0,렌터카(승용/승합/버스 등등),2,,,,,5000,
d_d001987,10,교통비,0,배/선박,2,,,,,20000,
d_d002361,2,렌탈비,0,렌터카(승용/승합/버스 등등),3,,,,,71900,
d_d001385,9,교통비,0,항공기,4,,,,,450000,비행기표
d_d010354,10,교통비,11,배/선박,3,1078204813,한국해운조합,2022/11/07 10:47,1,42300,승선권
d_d010195,4,교통비,0,택시,1,,,,,29200,
d_d000487,2,렌탈비,0,렌터카(승용/승합/버스 등등),1,,,,,200000,
d_d011722,2,렌탈비,1,렌터카(승용/승합/버스 등등),1,1508700854,주식회사제주원렌트카,2022/11/06 10:42,1,12050,렌트비
a_a003218,50,교통비,0,버스 + 지하철,2,,,,,2600,
a_a000354,2,통행료,0,렌터카(승용/승합/버스 등등),2,,,,,6600,
a_a003485,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,40000,
d_d000773,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,2600,
d_d004016,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
d_d001893,1,주유비,11,자가용(승용/승합/트럭 등등),2,6162254977,돈내코주유소,2022/10/02 15:58,1,30000,주유비
b_b006000,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,50000,
d_d001850,9,교통비,0,항공기,1,,,,,150000,비행기표
d_d000162,4,교통비,0,택시,3,,,,,19800,
d_d004961,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,163362,
d_d008994,2,렌탈비,0,렌터카(승용/승합/버스 등등),4,,,,,89550,
d_d002105,11,교통비,0,관광버스,1,,,,,3000,
a_a014437,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,60000,
d_d012236,4,교통비,1,택시,2,,,2022/11/07 19:41,1,7000,택시비
d_d011349,50,교통비,0,버스 + 지하철,4,,,,,22640,
d_d006657,9,교통비,0,항공기,2,,,,,332000,비행기표
d_d009697,9,교통비,0,항공기,2,,,,,348600,비행기표
a_a000553,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,1000,
d_d000431,2,렌탈비,1,렌터카(승용/승합/버스 등등),6,5668801036,(주)네이처모빌리티,2022/08/18 0:00,1,235405,차량대여료
d_d009350,10,교통비,1,배/선박,1,6168145193,우도해운(주),2022/11/05 10:16,1,10000,(왕복)승/대인;입장료/어른
d_d007825,4,교통비,1,택시,2,6168100288,동방운수(주),2022/10/28 10:07,1,7100,택시비
d_d001835,4,교통비,2,택시,2,,,2022/10/06 17:43,1,44040,택시비
